Age,Income,Gender,Marital_Status,Credit_Score,Num_Purchases,Membership_Years,Device_Used,Churn
56,70201.18968,Female,Married,687.761776,9,12,Desktop,0
69,51901.8974,Male,Single,712.6171152,3,14,Tablet,0
46,38605.40929,Male,Married,782.2996428,5,8,Mobile,0
32,49949.73696,Female,Single,697.7495177,7,1,Tablet,0
,48965.29009,Other,Married,663.1552157,4,4,Desktop,1
25,11326.76856,Female,Divorced,697.0610838,1,4,Desktop,1
38,41579.49711,,Divorced,687.6152197,5,6,Tablet,1
56,54713.05599,Female,Married,714.7087131,7,12,Tablet,0
36,43636.76652,Male,Divorced,540.0983695,3,12,Desktop,0
40,40306.85957,Male,Divorced,,3,2,Mobile,0
28,63670.64294,Male,Divorced,682.2308355,9,7,Tablet,0
28,36251.81263,,Single,644.9006983,1,5,Mobile,1
41,60674.33976,Other,Divorced,704.8916511,6,10,Mobile,0
53,30008.83294,Female,Single,784.4817334,6,6,Desktop,0
57,91411.42904,Female,Married,659.6751992,5,11,Desktop,0
41,46764.7171,Male,Divorced,698.4204756,4,14,Desktop,0
20,45151.02066,Other,Divorced,762.4385332,7,6,Mobile,0
39,67145.98854,Female,Divorced,661.3095154,7,14,Desktop,1
19,43719.42739,Other,Married,587.8075758,6,14,Desktop,0
41,71823.91712,Other,Single,693.1045194,5,12,Mobile,0
61,55573.90746,Male,Single,495.8833704,3,14,Mobile,1
47,48224.03149,Male,Divorced,489.1143073,5,11,Mobile,0
55,46624.91145,Other,Married,,3,6,Mobile,0
,68113.88256,Other,Married,485.8520732,1,10,Tablet,1
38,53457.30822,Other,Married,557.938258,2,12,Desktop,1
50,56484.63097,Other,Married,623.3931006,6,8,Tablet,1
29,58115.02809,Male,Married,599.5008555,4,10,Mobile,1
39,51994.04278,Female,Single,639.6535448,9,4,Mobile,1
61,57798.0834,Male,Single,727.9009099,4,10,Mobile,1
42,48225.14866,Female,Single,666.6936568,6,8,Mobile,1
66,49252.87052,Other,Divorced,591.2475719,8,9,Mobile,1
44,33213.27608,Female,Married,744.8108751,5,13,Desktop,1
59,54466.40376,Male,Divorced,549.9799934,3,13,Tablet,1
45,24206.8849,Male,Married,665.5318456,4,4,Tablet,0
33,54253.37106,Other,Single,542.1939817,3,1,Desktop,1
32,45790.75976,Male,Divorced,667.6622534,6,3,Desktop,1
64,55618.77664,Other,Single,627.6960817,6,1,Desktop,1
68,34267.57499,Male,Married,725.7566538,9,7,Tablet,1
61,18209.63948,Male,Married,700.448263,5,12,Tablet,1
69,44737.0204,Other,Married,608.9002468,5,1,Mobile,0
20,34311.30997,Female,Single,595.4742251,3,11,Tablet,0
54,23291.64975,Male,Married,627.9432287,8,4,Tablet,0
68,61519.74905,Female,Single,781.2900022,6,13,Desktop,1
24,74018.57341,Male,Divorced,763.3347937,5,14,Tablet,1
38,38045.72846,,Married,582.221227,1,1,Mobile,0
26,48863.43759,Male,Married,706.0157737,3,13,Tablet,1
56,45383.21575,Male,Married,528.7998,2,13,Desktop,1
35,40116.52367,Female,Divorced,,7,2,Desktop,0
21,59956.05821,Female,Married,585.0704953,2,11,Mobile,1
42,,,Single,724.849562,2,14,Mobile,1
31,36970.89216,Male,Single,559.6497736,8,1,Tablet,1
67,50671.50301,Female,Married,680.0545165,3,13,Mobile,1
26,69267.99551,Other,Married,650.0497085,6,5,Mobile,1
43,60335.54305,Other,Divorced,637.7185819,6,7,Desktop,1
19,62565.46158,Female,Divorced,767.0108066,2,3,Desktop,1
37,70519.77961,Male,Divorced,773.1788035,5,14,Tablet,0
45,70322.67759,Male,Married,639.8925027,2,8,Tablet,0
64,65429.63945,Other,Divorced,625.785859,2,14,Tablet,1
24,52174.06122,Other,Divorced,544.5188677,5,5,Tablet,1
61,44262.75474,Female,Single,649.7018709,4,5,Desktop,0
25,51552.16648,Other,Divorced,786.7312279,3,13,Tablet,0
64,41983.89971,Female,Single,640.9885262,5,5,Tablet,0
52,20712.6969,Other,Single,701.0131498,8,8,Mobile,0
31,45807.51401,Other,Divorced,552.1751873,7,2,Tablet,0
34,55362.89366,Other,Single,619.5657549,5,2,Mobile,0
53,41190.95873,Male,Married,682.3725714,6,14,Desktop,0
67,47108.30319,Male,Married,657.4103679,3,12,Tablet,1
57,47689.44926,Male,Divorced,707.7267134,5,8,Mobile,0
,70352.85161,Other,Married,607.8129681,8,9,Tablet,0
,44608.44089,Female,Single,527.5008016,5,11,Mobile,0
23,70349.50073,Female,Married,728.5463161,6,12,Tablet,1
59,9312.642622,Female,Divorced,584.4695498,5,10,Desktop,1
21,70217.83672,Female,Divorced,685.4622819,5,10,Desktop,1
46,69461.09172,Male,Single,681.5599807,7,2,Mobile,0
35,63533.8201,Male,Divorced,533.5372763,5,4,Mobile,0
43,19821.22995,Other,Married,723.4387792,4,8,Desktop,0
61,65283.30493,Other,Divorced,610.3402964,7,2,Tablet,1
51,49248.21236,Female,Single,653.8538235,6,4,Mobile,1
27,12059.9384,Male,Divorced,624.9272205,9,10,Desktop,1
53,69472.66562,Female,Married,763.5814052,4,13,Mobile,1
31,71662.59618,,Single,,1,13,Desktop,1
48,21432.31892,Other,Married,523.1365791,8,1,Desktop,1
65,52631.31613,Female,Single,808.1178985,5,2,Mobile,0
32,70828.86682,Other,Divorced,602.5185287,6,7,Mobile,1
25,68452.4197,Female,Single,797.1705674,5,1,Desktop,1
31,62540.91577,Male,Single,632.06533,6,12,Tablet,1
40,10291.2068,Female,Divorced,626.1358306,8,1,Desktop,1
57,60943.1415,Male,Married,632.6870587,2,2,Tablet,0
38,46728.44152,Male,Divorced,621.9447249,4,4,Tablet,0
33,64937.86293,Other,Single,826.7077576,1,7,Tablet,1
62,53842.42188,Other,Divorced,644.654576,6,4,Mobile,0
35,49701.77585,Other,Single,628.8392497,8,5,Desktop,0
64,59613.55774,Female,Divorced,655.390753,7,4,Desktop,0
41,47421.29943,Female,Divorced,582.2865362,6,4,Tablet,0
43,49635.8408,,Married,761.7984374,4,9,Tablet,0
42,41671.64001,Female,Single,547.0243415,3,6,Tablet,0
62,25918.86513,Other,Married,607.0193975,6,12,Desktop,0
58,58517.80211,,Single,715.5662217,6,3,Tablet,1
46,37909.5452,Male,Divorced,652.9646492,3,6,Desktop,0
32,46988.12201,Male,Single,688.4450628,1,13,Desktop,1
62,54304.60938,Other,Married,757.3214882,8,7,Mobile,0
18,18721.73535,Female,Married,720.2661084,2,7,Tablet,0
42,22079.76644,Female,Married,659.6233442,5,8,Tablet,0
24,45503.92135,Male,Single,796.2539855,4,13,Tablet,1
26,,,Married,606.0164696,6,4,Mobile,0
41,61160.57406,Other,Married,642.9783251,4,1,Tablet,1
18,26130.28256,Male,Married,647.8691768,5,6,Desktop,0
61,59549.47227,Other,Divorced,642.8304764,5,8,Tablet,0
25,,Male,Divorced,575.155254,6,5,Desktop,1
41,36752.64132,Male,Single,539.1445122,3,13,Desktop,0
28,40271.72216,Female,Single,679.2041102,5,3,Desktop,0
,62027.85998,Male,Married,605.656835,5,4,Desktop,0
34,54110.08678,Male,Divorced,783.5466152,4,8,Tablet,1
25,50754.59784,Other,Married,644.9220374,4,6,Mobile,0
52,53652.43608,Male,Married,632.395752,4,13,Mobile,0
52,63921.46665,Other,Divorced,,4,13,Desktop,0
50,48543.50649,Male,Divorced,678.1534846,6,5,Tablet,1
22,50814.7833,Male,Divorced,637.7137801,6,13,Mobile,0
59,,Other,Single,605.1487777,6,9,Tablet,1
56,45026.20064,Female,Single,906.0391263,7,10,Mobile,0
58,59272.10893,Other,Married,675.3250034,5,3,Desktop,0
45,42444.43279,Other,Single,725.9100704,8,7,Desktop,1
24,43761.98988,Other,Divorced,578.3938136,4,9,Desktop,1
26,48439.25365,Female,Divorced,609.541023,5,11,Mobile,1
25,57729.09279,Male,Single,797.8642122,1,13,Tablet,1
29,67912.72944,Other,Married,747.7851658,7,11,Desktop,1
51,,Other,Married,682.0335473,5,12,Tablet,0
50,27502.44633,Female,Single,623.2900376,9,4,Tablet,0
65,59471.6944,Other,Married,633.617496,5,10,Desktop,1
40,86807.63261,Male,Married,602.6722485,8,10,Mobile,0
41,51630.03247,Female,Married,569.0205469,9,3,Desktop,0
54,24368.48541,Male,Divorced,714.6690929,5,1,Desktop,1
52,52544.79334,Male,Divorced,687.7181856,9,9,Mobile,1
61,49954.81095,Female,Single,701.5255171,5,13,Tablet,1
57,48693.36735,Other,Divorced,626.4171408,6,1,Mobile,0
39,64181.1485,Male,Married,667.8947283,3,2,Mobile,1
